snapshot_time,status,id,asset,venue,direction,entry_price,current_price,size,leverage,unrealized_pnl_pct,unrealized_pnl_usd,target_pct,stop_pct,expiry_date,signal_type,thesis,cash,total_realized_pnl,total_trades,win_count,loss_count
2026-04-06T17:39:18.084Z,open,T-1775258607690-k1rd,GOLD,polymarket,long,4663,4661,1,1,-0.04,-0.0004,3,5,2026-04-10T23:23:27.690Z,OPT_IV_GT_PM_IV,"GOLD Options IV (34.6%) >> PM IV (15.1%), ratio 0.44. PM underpricing vol → buy PM upside.",93.01,0.0058,4,3,1
2026-04-06T17:39:18.084Z,open,T-1775273324409-yo42,AMZN,hyperliquid,long,209.78,211.4,1,2,1.54,0.0154,3,5,2026-04-11T03:28:44.409Z,LLM_HYPOTHESIS,"[LLM] Funding flipped positive (+5.48%) while basis remains negative (-0.34%), suggesting perp catching up to spot",93.01,0.0058,4,3,1
2026-04-06T17:39:18.084Z,open,T-1775310336308-jy7a,OIL,hyperliquid,long,85.14,85.43,1,2,0.68,0.0068,2,4,2026-04-07T13:45:36.308Z,FUNDING_EXTREME_SHORT,"OIL HL funding -64.1% annualized — crowded shorts. Buy.",93.01,0.0058,4,3,1
2026-04-06T17:39:18.084Z,open,T-1775447657369-dgo6,BTC,spot,long,69060,69512,1,1,0.65,0.0065,3,5,2026-04-13T03:54:17.369Z,LLM_HYPOTHESIS,"[LLM] Breakout momentum confirmed by HYPE OI expansion and funding normalization. Target 70000 on 3-5 day continuation pattern",93.01,0.0058,4,3,1
2026-04-06T17:39:18.084Z,open,T-1775469636091-jl85,HYPE,hyperliquid,long,37.333,36.967,1,2,-1.96,-0.0196,2,4,2026-04-09T10:00:36.091Z,FUNDING_EXTREME_SHORT,"HYPE HL funding -29.4% annualized — crowded shorts. Buy.",93.01,0.0058,4,3,1
2026-04-06T17:39:18.084Z,open,T-1775484370900-m1ww,OIL,polymarket,short,83.39,85.43,1,1,-2.45,-0.0245,3,5,2026-04-13T14:06:10.900Z,PM_IV_GT_OPT_IV,"OIL PM IV (49.6%) >> Options IV (29.1%), ratio 1.70. PM overpricing vol → sell PM upside.",93.01,0.0058,4,3,1
2026-04-06T17:39:18.084Z,open,T-1775484370900-nox5,AMZN,spot,short,211.86,211.4,1,1,0.22,0.0022,2,3,2026-04-11T14:06:10.900Z,PC_RATIO_EXTREME_LOW,"AMZN P/C ratio 0.40 — heavy call buying → contrarian short.",93.01,0.0058,4,3,1
2026-04-06T21:30:09.648Z,open,T-1775258607690-k1rd,GOLD,polymarket,long,4663,4653,1,1,-0.21,-0.0021,3,5,2026-04-10T23:23:27.690Z,OPT_IV_GT_PM_IV,"GOLD Options IV (34.6%) >> PM IV (15.1%), ratio 0.44. PM underpricing vol → buy PM upside.",93.01,0.0058,4,3,1
2026-04-06T21:30:09.648Z,open,T-1775273324409-yo42,AMZN,hyperliquid,long,209.78,212.48,1,2,2.57,0.0257,3,5,2026-04-11T03:28:44.409Z,LLM_HYPOTHESIS,"[LLM] Funding flipped positive (+5.48%) while basis remains negative (-0.34%), suggesting perp catching up to spot",93.01,0.0058,4,3,1
2026-04-06T21:30:09.648Z,open,T-1775310336308-jy7a,OIL,hyperliquid,long,85.14,84.68,1,2,-1.08,-0.0108,2,4,2026-04-07T13:45:36.308Z,FUNDING_EXTREME_SHORT,"OIL HL funding -64.1% annualized — crowded shorts. Buy.",93.01,0.0058,4,3,1
